run_id,seed,model_id,backend,workload_name,context_tokens,output_tokens,num_agents,branch_factor,num_prompts,available,skipped,reason,ttft_sec,total_latency_sec,prefill_sec,decode_sec,transfer_sec,resume_sec,omega_sec,throughput_tokens_per_sec,kv_total_bytes,kv_peak_bytes,kv_transferred_bytes,kv_reuse_ratio,materialize_count,transfer_count,branch_instances,dense_prefill_sec,stateful_prefill_sec,tpot_sec,itl_sec,e2el_sec,request_throughput_req_per_sec,source_metrics_path,kvcomm_available,kvcomm_mode,kvcomm_repo,kvcomm_reference,kvcomm_anchor_overhead_sec,kvcomm_reuse_fraction,stateful_parallel_width,stateful_parallel_waves,hf_cuda_device_count,hf_active_cuda_devices,hf_tensor_parallel_size,hf_device,hf_device_map_requested,hf_device_map_effective
multi_f4021752bf59,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm_measured,AAFLOW+,1024,64,16,8,32,True,False,,0.01954530636,612.37994180048,4.2734905,607.5187199999999,0.51093130048,0.0512,0.0256,428.0741123382669,134217728,2691065421,96307929939,0.9921875,1,4064,128,3098.09152,4.2734905,,,,,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx1024_out64_a16_b8_s0/metrics.json,,,,,,,8,16,,,,,,
multi_015be8f05167,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm_measured,dense_prefill,1024,64,16,8,32,True,False,,0.77496,7958.44608,3098.09152,4860.149759999999,0.0,0.0,0.0064,32.93909355731917,134217728,17179869184,0,0.0,128,0,128,3098.09152,4.2734905,,,,,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx1024_out64_a16_b8_s0/metrics.json,,,,,,,8,16,,,,,,
multi_d82caa50cba9,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm_measured,aaflow_text,1024,64,16,8,32,True,False,,0.7900874,8020.407910399999,3098.09152,4860.149759999999,0.0,0.0,62.1666304,32.68462189561206,134217728,18554258718,0,0.0,4096,0,128,3098.09152,4.2734905,,,,,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx1024_out64_a16_b8_s0/metrics.json,,,,,,,8,16,,,,,,
multi_b7418615dea3,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm_measured,vllm_local_prefix,1024,64,16,8,32,True,False,,0.17469053125,4786.565052799999,22.993647999999997,4762.946764799999,0.0,0.4096,0.21504,54.766622224564465,134217728,4402341456,0,0.9921875,32,0,128,3098.09152,4.2734905,,,,,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx1024_out64_a16_b8_s0/metrics.json,,,,,,,8,16,,,,,,
multi_55a7c35feb8d,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm_measured,sglang_prefix,1024,64,16,8,32,True,False,,0.11465366249999999,4688.1621055999985,21.783456,4665.743769599999,0.0,0.4096,0.22528000000000004,55.91615522143947,134217728,4402341456,0,0.9921875,32,0,128,3098.09152,4.2734905,,,,,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx1024_out64_a16_b8_s0/metrics.json,,,,,,,8,16,,,,,,
multi_c9830d61d61f,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm_measured,kvcomm_prefix,1024,64,16,8,32,True,False,,0.27575580000000005,5929.6802112,946.3701440000001,4860.149759999999,0.0,0.0,123.1603072,44.208792154568734,134217728,5247913164,0,0.6945312499999999,32,0,128,3098.09152,946.3701440000001,,,,,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx1024_out64_a16_b8_s0/metrics.json,False,measured_profile_simulation,,https://github.com/FastMAS/KVCOMM,122.9555072,0.7,8,16,,,,,,
multi_81caf59e59c0,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm_measured,distserve_style,1024,64,16,8,32,True,False,,0.02410870912,4906.98963386368,24.20384,4860.149759999999,22.021633863679998,0.4096,0.2048,53.42257056972674,134217728,17314086912,545460846592,0.0,32,4064,128,3098.09152,4.2734905,,,,,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx1024_out64_a16_b8_s0/metrics.json,,,,,,,8,16,,,,,,
multi_bf7f79ab500f,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm,vllm_serve,1024,64,16,8,32,True,False,,0.75637,11.148957642999449,,,,,,1027.68,,,,,,,128,,,0.018539999999999997,0.018539999999999997,0.0,16.06,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx1024_out64_a16_b8_s0/metrics.json,,,,,,,,,,,,,,
multi_62fdc3b31c33,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm_measured,AAFLOW+,2048,64,16,8,32,True,False,,0.03099061272,965.5883526009601,8.345050000000002,956.17024,0.9962626009599999,0.0512,0.0256,271.4862905024434,268435456,5382130842,192615859878,0.9921875,1,4064,128,6049.792,8.345050000000002,,,,,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx2048_out64_a16_b8_s0/metrics.json,,,,,,,8,16,,,,,,
multi_81890904f902,0,meta-llama/Meta-Llama-3-8B-Instruct,vllm_measured,dense_prefill,2048,64,16,8,32,True,False,,1.5062300000000002,13699.35872,6049.792,7649.36192,0.0,0.0,0.0064,19.135494248887003,268435456,34359738368,0,0.0,128,0,128,6049.792,8.345050000000002,,,,,runs/stateful/full_paper/exp1_ttft_reduction_llama3_vllm/vllm_runs/meta-llama_Meta-Llama-3-8B-Instruct/ctx2048_out64_a16_b8_s0/metrics.json,,,,,,,8,16,,,,,,
