run_id,seed,model_id,backend,workload_name,context_tokens,output_tokens,num_agents,branch_factor,num_prompts,available,skipped,reason,ttft_sec,total_latency_sec,prefill_sec,decode_sec,transfer_sec,resume_sec,omega_sec,throughput_tokens_per_sec,kv_total_bytes,kv_peak_bytes,kv_transferred_bytes,kv_reuse_ratio,materialize_count,transfer_count,branch_instances,dense_prefill_sec,stateful_prefill_sec,tpot_sec,itl_sec,e2el_sec,request_throughput_req_per_sec,source_metrics_path,kvcomm_available,kvcomm_mode,kvcomm_repo,kvcomm_reference,kvcomm_anchor_overhead_sec,kvcomm_reuse_fraction,stateful_parallel_width,stateful_parallel_waves,hf_cuda_device_count,hf_active_cuda_devices,hf_tensor_parallel_size,hf_device,hf_device_map_requested,hf_device_map_effective
multi_3c859d0d982f,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,AAFLOW+,8192,64,1,4,16,True,False,,0.060942450919999995,66.33318643676,10.587200000000003,55.603199999999994,0.14038643676,0.0016,0.0008,61.7488804627982,1073741824,1556925643,10468982757,0.796875,1,48,4,208.4864,10.587200000000003,,,,,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a1_b4_s0/metrics.json,,,,,,,4,1,,,,,,
multi_c1abac114bdd,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,dense_prefill,8192,64,1,4,16,True,False,,3.31195,430.90239999999994,208.4864,222.41279999999998,0.0,0.0,0.0002,9.505632830079389,1073741824,4294967296,0,0.0,4,0,4,208.4864,10.587200000000003,,,,,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a1_b4_s0/metrics.json,,,,,,,4,1,,,,,,
multi_809a5ab8adcc,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,aaflow_text,8192,64,1,4,16,True,False,,3.377102,435.07212799999996,208.4864,222.41279999999998,0.0,0.0,4.172928,9.41453091658402,1073741824,4638564679,0,0.0,64,0,4,208.4864,10.587200000000003,,,,,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a1_b4_s0/metrics.json,,,,,,,4,1,,,,,,
multi_7eafbf537cc2,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,vllm_local_prefix,8192,64,1,4,16,True,False,,1.357465,267.48982399999994,49.515519999999995,217.96454399999996,0.0,0.0064,0.00336,15.31273204621048,1073741824,1556925643,0,0.75,16,0,4,208.4864,10.587200000000003,,,,,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a1_b4_s0/metrics.json,,,,,,,4,1,,,,,,
multi_ea1a6e4bbf26,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,sglang_prefix,8192,64,1,4,16,True,False,,1.1620089999999998,260.43564799999996,46.909440000000004,213.51628799999997,0.0,0.0064,0.0035200000000000006,15.727493649410086,1073741824,1556925643,0,0.75,16,0,4,208.4864,10.587200000000003,,,,,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a1_b4_s0/metrics.json,,,,,,,4,1,,,,,,
multi_7da8afb6f21b,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,kvcomm_prefix,8192,64,1,4,16,True,False,,1.1619340000000002,327.701632,99.03104000000002,222.41279999999998,0.0,0.0,6.257792,12.499174859159687,1073741824,2040109465,0,0.5249999999999999,16,0,4,208.4864,99.03104000000002,,,,,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a1_b4_s0/metrics.json,False,measured_profile_simulation,,https://github.com/FastMAS/KVCOMM,6.254592000000001,0.7,4,1,,,,,,
multi_a29ac6363582,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,distserve_style,8192,64,1,4,16,True,False,,0.09744967295999998,276.60798430207996,52.1216,222.41279999999998,2.0639843020799997,0.0064,0.0032,14.807960118485994,1073741824,5368709120,51539607552,0.0,16,48,4,208.4864,10.587200000000003,,,,,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a1_b4_s0/metrics.json,,,,,,,4,1,,,,,,
multi_5398091d6755,0,mistralai/Mistral-7B-Instruct-v0.3,vllm,vllm_serve,8192,64,1,4,16,True,False,,3.2576,17.156887102999463,,,,,,145.4,,,,,,,4,,,0.054299999999999994,0.054520000000000006,0.0,2.27,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a1_b4_s0/metrics.json,,,,,,,,,,,,,,
multi_a6f95596b3a1,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,AAFLOW+,8192,64,2,4,16,True,False,,0.06171245092,66.80553893676,10.2710725,56.39168,0.14038643676,0.0016,0.0008,122.62456272906917,1073741824,2201170735,24427626433,0.875,1,112,8,404.52224,10.2710725,,,,,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a2_b4_s0/metrics.json,,,,,,,8,1,,,,,,
multi_9320b5f69c28,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,dense_prefill,8192,64,2,4,16,True,False,,3.21545,855.6620800000001,404.52224,451.13344,0.0,0.0,0.0004,9.57387290085357,1073741824,8589934592,0,0.0,8,0,8,404.52224,10.2710725,,,,,runs/stateful/full_paper/exp2_multi_agent_scaling_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a2_b4_s0/metrics.json,,,,,,,8,1,,,,,,
