run_id,seed,model_id,backend,workload_name,context_tokens,output_tokens,num_agents,branch_factor,num_prompts,available,skipped,reason,ttft_sec,total_latency_sec,prefill_sec,decode_sec,transfer_sec,resume_sec,omega_sec,throughput_tokens_per_sec,kv_total_bytes,kv_peak_bytes,kv_transferred_bytes,kv_reuse_ratio,materialize_count,transfer_count,branch_instances,dense_prefill_sec,stateful_prefill_sec,tpot_sec,itl_sec,e2el_sec,request_throughput_req_per_sec,source_metrics_path,kvcomm_available,kvcomm_mode,kvcomm_repo,kvcomm_reference,kvcomm_anchor_overhead_sec,kvcomm_reuse_fraction,stateful_parallel_width,stateful_parallel_waves,hf_cuda_device_count,hf_active_cuda_devices,hf_tensor_parallel_size,hf_device,hf_device_map_requested,hf_device_map_effective,requested_sglang_port,sglang_port
multi_bc8370e34739,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,AAFLOW+,8192,64,8,1,16,True,False,,0.08074245092,80.92394143676,4.902755000000001,75.8784,0.14038643676,0.0016,0.0008,101.23085769866806,1073741824,2201170735,24427626433,0.875,1,112,8,193.09312,4.902755000000001,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b1_s0/metrics.json,,,,,,,8,1,,,,,,,,
multi_60daf5b8497e,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,dense_prefill,8192,64,8,1,16,True,False,,1.5826900000000002,800.12672,193.09312,607.0272,0.0,0.0,0.0004,10.238378240886643,1073741824,8589934592,0,0.0,8,0,8,193.09312,4.902755000000001,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b1_s0/metrics.json,,,,,,,8,1,,,,,,,,
multi_4060df46b6f6,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,aaflow_text,8192,64,8,1,16,True,False,,1.6128608000000002,803.9885824,193.09312,607.0272,0.0,0.0,3.8682624000000003,10.189199423138474,1073741824,9277129359,0,0.0,128,0,8,193.09312,4.902755000000001,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b1_s0/metrics.json,,,,,,,8,1,,,,,,,,
multi_6c578b78c86a,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,vllm_local_prefix,8192,64,8,1,16,True,False,,0.5267995000000001,617.8359839999999,22.929807999999998,594.886656,0.0,0.0128,0.00672,13.259182391681481,1073741824,8589934592,0,0.875,16,0,8,193.09312,4.902755000000001,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b1_s0/metrics.json,,,,,,,8,1,,,,,,,,
multi_9aa384bc0343,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,sglang_prefix,8192,64,8,1,16,True,False,,0.4212017,604.4889279999999,21.722976,582.7461119999999,0.0,0.0128,0.007040000000000001,13.55194383312179,1073741824,8589934592,0,0.875,16,0,8,193.09312,4.902755000000001,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b1_s0/metrics.json,,,,,,,8,1,,,,,,,,
multi_e1a2c5f4d338,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,kvcomm_prefix,8192,64,8,1,16,True,False,,0.5870536000000001,688.6154432,74.82358400000001,607.0272,0.0,0.0,6.7646592000000005,11.896335002206353,1073741824,3328599654,0,0.6124999999999999,16,0,8,193.09312,74.82358400000001,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b1_s0/metrics.json,False,measured_profile_simulation,,https://github.com/FastMAS/KVCOMM,6.7582592,0.7,8,1,,,,,,,,
multi_ee3b50b04a70,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,distserve_style,8192,64,8,1,16,True,False,,0.11724967296,635.9990033715198,24.13664,607.0272,4.81596337152,0.0128,0.0064,12.880523328767907,1073741824,9663676416,120259084288,0.0,16,112,8,193.09312,4.902755000000001,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b1_s0/metrics.json,,,,,,,8,1,,,,,,,,
multi_ef902295fc95,0,mistralai/Mistral-7B-Instruct-v0.3,sglang,sglang_serve,8192,64,8,1,16,True,False,,1.50854,17.56713260199831,,,,,,154.2,,,,,,,8,,,0.0741,0.047700000000000006,0.0,5.01,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b1_s0/metrics.json,,,,,,,,,,,,,,,38000,38001
multi_c5e9bc6c87c7,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,AAFLOW+,8192,64,8,2,16,True,False,,0.08217245092,159.68097787352,4.709965,154.68544,0.28077287352,0.0032,0.0016,102.6045820747505,1073741824,3489660919,52344913785,0.9375,1,240,16,371.00032,4.709965,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b2_s0/metrics.json,,,,,,,8,2,,,,,,,,
multi_85a04c9c74c5,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,dense_prefill,8192,64,8,2,16,True,False,,1.5248000000000002,1608.4966399999998,371.00032,1237.48352,0.0,0.0,0.0008,10.185908750173082,1073741824,17179869184,0,0.0,16,0,16,371.00032,4.709965,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b2_s0/metrics.json,,,,,,,8,2,,,,,,,,
multi_fd04fc45291f,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,aaflow_text,8192,64,8,2,16,True,False,,1.5537844,1615.9166463999998,371.00032,1237.48352,0.0,0.0,7.4328064000000005,10.139136840072101,1073741824,18554258718,0,0.0,256,0,16,371.00032,4.709965,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b2_s0/metrics.json,,,,,,,8,2,,,,,,,,
multi_4b7a8ee14d20,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,vllm_local_prefix,8192,64,8,2,16,True,False,,0.43797875,1234.8010336,22.028143999999998,1212.7338496,0.0,0.0256,0.01344,13.2685344069022,1073741824,9878424776,0,0.9375,16,0,16,371.00032,4.709965,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b2_s0/metrics.json,,,,,,,8,2,,,,,,,,
multi_f76cab92f2b9,0,mistralai/Mistral-7B-Instruct-v0.3,sglang_measured,sglang_prefix,8192,64,8,2,16,True,False,,0.32928725,1208.8926271999999,20.868768,1187.9841792,0.0,0.0256,0.014080000000000002,13.552899266122683,1073741824,9878424776,0,0.9375,16,0,16,371.00032,4.709965,,,,,runs/stateful/full_paper/exp4_memory_efficiency_mistral_sglang/sglang_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx8192_out64_a8_b2_s0/metrics.json,,,,,,,8,2,,,,,,,,
