run_id,seed,model_id,backend,workload_name,context_tokens,output_tokens,num_agents,branch_factor,num_prompts,available,skipped,reason,ttft_sec,total_latency_sec,prefill_sec,decode_sec,transfer_sec,resume_sec,omega_sec,throughput_tokens_per_sec,kv_total_bytes,kv_peak_bytes,kv_transferred_bytes,kv_reuse_ratio,materialize_count,transfer_count,branch_instances,dense_prefill_sec,stateful_prefill_sec,tpot_sec,itl_sec,e2el_sec,request_throughput_req_per_sec,source_metrics_path,kvcomm_available,kvcomm_mode,kvcomm_repo,kvcomm_reference,kvcomm_anchor_overhead_sec,kvcomm_reuse_fraction,stateful_parallel_width,stateful_parallel_waves,hf_cuda_device_count,hf_active_cuda_devices,hf_tensor_parallel_size,hf_device,hf_device_map_requested,hf_device_map_effective
multi_b474cb2955f8,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,AAFLOW+,1024,64,4,4,32,True,False,,0.019305306360000003,79.37155691256001,4.3412905,74.9568,0.06386641256,0.0064,0.0032,412.84310494373943,134217728,436207613,11374952355,0.9375,1,480,16,393.40544,4.3412905,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_47833d48d1f7,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,dense_prefill,1024,64,4,4,32,True,False,,0.78672,993.0854400000001,393.40544,599.6544,0.0,0.0,0.0008,32.99615388581268,134217728,2147483648,0,0.0,16,0,16,393.40544,4.3412905,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_630ddb544c78,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,aaflow_text,1024,64,4,4,32,True,False,,0.8020874,1000.9535488,393.40544,599.6544,0.0,0.0,7.8937088,32.7367838790163,134217728,2319282339,0,0.0,512,0,16,393.40544,4.3412905,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_092d74649b99,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,vllm_local_prefix,1024,64,4,4,32,True,False,,0.21053624999999998,611.0978399999999,23.358448,587.661312,0.0,0.0512,0.02688,53.62152810096662,134217728,778462820,0,0.9375,32,0,16,393.40544,4.3412905,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_9e953614ae6d,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,sglang_prefix,1024,64,4,4,32,True,False,,0.15290849999999997,597.87664,22.129056000000002,575.668224,0.0,0.0512,0.028160000000000004,54.80729268833785,134217728,778462820,0,0.9375,32,0,16,393.40544,4.3412905,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_5a4631b4f934,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,kvcomm_prefix,1024,64,4,4,32,True,False,,0.2795958,749.665824,135.23312,599.6544,0.0,0.0,14.778304,43.71014250744342,134217728,738197504,0,0.65625,32,0,16,393.40544,135.23312,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a4_b4_s0/metrics.json,False,measured_profile_simulation,,https://github.com/FastMAS/KVCOMM,14.752704,0.7,8,2,,,,,,
multi_1f6decb80d21,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,distserve_style,1024,64,4,4,32,True,False,,0.02386870912,626.9200203776,24.58784,599.6544,2.6009803775999996,0.0512,0.0256,52.26823029238006,134217728,2281701376,64424509440,0.0,32,480,16,393.40544,4.3412905,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_eaec6b357c64,0,mistralai/Mistral-7B-Instruct-v0.3,vllm,vllm_serve,1024,64,4,4,32,True,False,,0.76837,10.990519232000224,,,,,,1029.8,,,,,,,16,,,0.0183,0.0183,0.0,16.09,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a4_b4_s0/metrics.json,,,,,,,,,,,,,,
multi_69fe1534bdf7,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,AAFLOW+,1024,64,8,4,32,True,False,,0.01927530636,154.29946032512,4.484687500000001,149.66783999999998,0.12773282512,0.0128,0.0064,424.7325289531859,134217728,758330157,23508234867,0.96875,1,992,32,812.8,4.484687500000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
multi_1236ff974308,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,dense_prefill,1024,64,8,4,32,True,False,,0.81207,2010.19392,812.8,1197.3427199999999,0.0,0.0,0.0016,32.601829777696274,134217728,4294967296,0,0.0,32,0,32,812.8,4.484687500000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
multi_cc2dc3012449,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,aaflow_text,1024,64,8,4,32,True,False,,0.8279449999999999,2026.4499199999998,812.8,1197.3427199999999,0.0,0.0,16.3072,32.34030081532931,134217728,4638564679,0,0.0,1024,0,32,812.8,4.484687500000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
multi_28aba3a94beb,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,vllm_local_prefix,1024,64,8,4,32,True,False,,0.197010625,1197.6820255999999,24.13,1173.3958655999998,0.0,0.1024,0.05376,54.71903109439134,134217728,1556925640,0,0.96875,32,0,32,812.8,4.484687500000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
multi_2057b6a1d2e2,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,sglang_prefix,1024,64,8,4,32,True,False,,0.13549499999999998,1172.4677311999997,22.86,1149.4490111999999,0.0,0.1024,0.05632000000000001,55.89578139854227,134217728,1556925640,0,0.96875,32,0,32,812.8,4.484687500000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
multi_04a93679c500,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,kvcomm_prefix,1024,64,8,4,32,True,False,,0.28819500000000003,1490.50992,261.62,1197.3427199999999,0.0,0.0,31.5472,43.96884523921854,134217728,1382442598,0,0.678125,32,0,32,812.8,261.62,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a8_b4_s0/metrics.json,False,measured_profile_simulation,,https://github.com/FastMAS/KVCOMM,31.496,0.7,8,4,,,,,,
multi_5fa59b6b5417,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,distserve_style,1024,64,8,4,32,True,False,,0.02383870912,1228.27167944704,25.4,1197.3427199999999,5.375359447039999,0.1024,0.0512,53.35627377609478,134217728,4429185024,133143986176,0.0,32,992,32,812.8,4.484687500000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
multi_2ae01149b7ff,0,mistralai/Mistral-7B-Instruct-v0.3,vllm,vllm_serve,1024,64,8,4,32,True,False,,0.79375,11.161305609999545,,,,,,1015.8,,,,,,,32,,,0.018269999999999998,0.018269999999999998,0.0,15.87,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a8_b4_s0/metrics.json,,,,,,,,,,,,,,
multi_8be8513e267a,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,AAFLOW+,1024,64,16,4,32,True,False,,0.019485306360000003,307.43605365024,4.365868000000001,302.77632,0.25546565024,0.0256,0.0128,426.3390661041868,134217728,1402575245,47774799891,0.984375,1,2016,64,1582.5305600000002,4.365868000000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a16_b4_s0/metrics.json,,,,,,,8,8,,,,,,
multi_9bc2287b536b,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,dense_prefill,1024,64,16,4,32,True,False,,0.7912500000000001,4004.8435200000004,1582.5305600000002,2422.21056,0.0,0.0,0.0032,32.72836987149001,134217728,8589934592,0,0.0,64,0,64,1582.5305600000002,4.365868000000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a16_b4_s0/metrics.json,,,,,,,8,8,,,,,,
multi_24680a3b63bb,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,aaflow_text,1024,64,16,4,32,True,False,,0.8067044000000001,4036.4941312,1582.5305600000002,2422.21056,0.0,0.0,31.753011200000003,32.47174298777784,134217728,9277129359,0,0.0,2048,0,64,1582.5305600000002,4.365868000000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a16_b4_s0/metrics.json,,,,,,,8,8,,,,,,
multi_8f7dbe9853da,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,vllm_local_prefix,1024,64,16,4,32,True,False,,0.1828314375,2397.5693567999997,23.490688000000002,2373.7663488,0.0,0.2048,0.10752,54.66870004333883,134217728,3113851280,0,0.984375,32,0,64,1582.5305600000002,4.365868000000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a16_b4_s0/metrics.json,,,,,,,8,8,,,,,,
multi_5e19099939b5,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,sglang_prefix,1024,64,16,4,32,True,False,,0.12197973749999999,2347.8939135999995,22.254336000000002,2325.3221375999997,0.0,0.2048,0.11264000000000002,55.825350217390685,134217728,3113851280,0,0.984375,32,0,64,1582.5305600000002,4.365868000000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a16_b4_s0/metrics.json,,,,,,,8,8,,,,,,
multi_d577774affa6,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,kvcomm_prefix,1024,64,16,4,32,True,False,,0.2812548000000001,2976.6931968,492.0680960000001,2422.21056,0.0,0.0,62.41454080000001,44.03275424585403,134217728,2670932787,0,0.6890624999999999,32,0,64,1582.5305600000002,492.0680960000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a16_b4_s0/metrics.json,False,measured_profile_simulation,,https://github.com/FastMAS/KVCOMM,62.31214080000001,0.7,8,8,,,,,,
multi_3f9d99765ca8,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,distserve_style,1024,64,16,4,32,True,False,,0.02404870912,2458.1689175859206,24.727040000000002,2422.21056,10.92411758592,0.2048,0.1024,53.32098988897846,134217728,8724152320,270582939648,0.0,32,2016,64,1582.5305600000002,4.365868000000001,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a16_b4_s0/metrics.json,,,,,,,8,8,,,,,,
multi_1a8c5efae977,0,mistralai/Mistral-7B-Instruct-v0.3,vllm,vllm_serve,1024,64,16,4,32,True,False,,0.7727200000000001,11.258865962998243,,,,,,1019.93,,,,,,,64,,,0.01848,0.01848,0.0,15.94,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out64_a16_b4_s0/metrics.json,,,,,,,,,,,,,,
multi_532739a99775,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,AAFLOW+,1024,128,4,4,32,True,False,,0.015115306359999999,120.16168141256,4.4990950000000005,115.58912,0.06386641256,0.0064,0.0032,545.3984933432348,134217728,436207613,11374952355,0.9375,1,480,16,407.7056,4.4990950000000005,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_987641c13893,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,dense_prefill,1024,128,4,4,32,True,False,,0.81046,1332.44416,407.7056,924.71296,0.0,0.0,0.0008,49.18480035966385,134217728,2147483648,0,0.0,16,0,16,407.7056,4.4990950000000005,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_2a53076cb043,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,aaflow_text,1024,128,4,4,32,True,False,,0.826386,1340.5982720000002,407.7056,924.71296,0.0,0.0,8.179712,48.88563663611823,134217728,2319282339,0,0.0,512,0,16,407.7056,4.4990950000000005,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_24097ac2f997,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,vllm_local_prefix,1024,128,4,4,32,True,False,,0.21332875,930.5043008,24.20752,906.2187008,0.0,0.0512,0.02688,70.43062556901188,134217728,778462820,0,0.9375,32,0,16,407.7056,4.4990950000000005,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_dfe5e8ca14cd,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,sglang_prefix,1024,128,4,4,32,True,False,,0.15360625,910.7372416,22.93344,887.7244416,0.0,0.0512,0.028160000000000004,71.95928420019933,134217728,778462820,0,0.9375,32,0,16,407.7056,4.4990950000000005,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_bcd270e23660,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,kvcomm_prefix,1024,128,4,4,32,True,False,,0.28490200000000004,1080.17632,140.1488,924.71296,0.0,0.0,15.31456,60.671576284879116,134217728,738197504,0,0.65625,32,0,16,407.7056,140.1488,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a4_b4_s0/metrics.json,False,measured_profile_simulation,,https://github.com/FastMAS/KVCOMM,15.28896,0.7,8,2,,,,,,
multi_433c28651f4a,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,distserve_style,1024,128,4,4,32,True,False,,0.01967870912,952.8723403775999,25.4816,924.71296,2.6009803775999996,0.0512,0.0256,68.77731383621618,134217728,2281701376,64424509440,0.0,32,480,16,407.7056,4.4990950000000005,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a4_b4_s0/metrics.json,,,,,,,8,2,,,,,,
multi_46dcb1aa4f0a,0,mistralai/Mistral-7B-Instruct-v0.3,vllm,vllm_serve,1024,128,4,4,32,True,False,,0.7963,12.336612282000715,,,,,,1537.77,,,,,,,16,,,0.01411,0.014119999999999999,0.0,12.01,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a4_b4_s0/metrics.json,,,,,,,,,,,,,,
multi_ce317d432d0c,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,AAFLOW+,1024,128,8,4,32,True,False,,0.01493530636,232.73429332512,4.3582405,228.22912,0.12773282512,0.0128,0.0064,563.1830106657205,134217728,758330157,23508234867,0.96875,1,992,32,789.88288,4.3582405,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
multi_40aa2864e4b8,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,dense_prefill,1024,128,8,4,32,True,False,,0.78535,2615.7670399999997,789.88288,1825.83296,0.0,0.0,0.0016,50.108437791157435,134217728,4294967296,0,0.0,32,0,32,789.88288,4.3582405,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
multi_0329aa692ce3,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,aaflow_text,1024,128,8,4,32,True,False,,0.8007774,2631.5646976,789.88288,1825.83296,0.0,0.0,15.8488576,49.80762970393178,134217728,4638564679,0,0.0,1024,0,32,789.88288,4.3582405,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
multi_6c757a3e55ad,0,mistralai/Mistral-7B-Instruct-v0.3,vllm_measured,vllm_local_prefix,1024,128,8,4,32,True,False,,0.187635125,1812.9221088,23.449648,1789.3163008,0.0,0.1024,0.05376,72.29874872382604,134217728,1556925640,0,0.96875,32,0,32,789.88288,4.3582405,,,,,runs/stateful/full_paper/exp5_throughput_overhead_mistral_vllm/vllm_runs/mistralai_Mistral-7B-Instruct-v0.3/ctx1024_out128_a8_b4_s0/metrics.json,,,,,,,8,4,,,,,,
